Name,link,Move 1,Move 2,Move 3,Move 4,Item,Ability,Nature,EVs
Ampharos,https://www.smogon.com/dex/sm/pokemon/ampharos/,Volt Switch/Thunderbolt,Focus Blast,Hidden Power,Heal Bell,Leftovers,Static,Modest,184 HP/252 SpA/72 Spe/
Bellossom,https://www.smogon.com/dex/sm/pokemon/bellossom/,Quiver Dance,Giga Drain,Strength Sap,Sleep Powder/Moonblast/Safeguard,Grassium Z,Chlorophyll,Timid,252 HP/4 Def/252 Spe/
Marill,https://www.smogon.com/dex/sm/pokemon/marill/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Azumarill,https://www.smogon.com/dex/sm/pokemon/azumarill/,Belly Drum,Aqua Jet,Play Rough,Knock Off,Normalium Z,Huge Power,Adamant,4 HP/252 Atk/252 Spe/
Sudowoodo,https://www.smogon.com/dex/sm/pokemon/sudowoodo/,Head Smash,Earthquake,Sucker Punch,Wood Hammer,Choice Band,Rock Head,Adamant,252 Atk/4 Def/252 Spe/
Politoed,https://www.smogon.com/dex/sm/pokemon/politoed/,Encore/Protect,Scald,Toxic,Rest,Chesto Berry,Water Absorb,Calm,248 HP/252 SpD/8 Spe/
Hoppip,https://www.smogon.com/dex/sm/pokemon/hoppip/,Strength Sap,Toxic/Sleep Powder,Bullet Seed,Cotton Guard/U-turn,Eviolite,Infiltrator,Impish,156 HP/196 Def/156 SpD/
Skiploom,https://www.smogon.com/dex/sm/pokemon/skiploom/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Jumpluff,https://www.smogon.com/dex/sm/pokemon/jumpluff/,Swords Dance,Acrobatics,Strength Sap,Seed Bomb/Sleep Powder,No Item,Infiltrator,Jolly,252 Atk/4 Def/252 Spe/
Rattata,https://www.smogon.com/dex/sm/pokemon/rattata/,Return/Double-Edge,Flame Wheel,Sucker Punch,Hidden Power/Zen Headbutt,Life Orb,Hustle,Jolly,232 Atk/76 Def/180 Spe/
Rattata-Alola,https://www.smogon.com/dex/sm/pokemon/rattata-alola/,Return/Double-Edge,Crunch/Sucker Punch,U-turn,Crunch/Quick Attack/Pursuit,Life Orb,Hustle,Jolly,228 Atk/76 Def/180 Spe/
Aipom,https://www.smogon.com/dex/sm/pokemon/aipom/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Sunkern,https://www.smogon.com/dex/sm/pokemon/sunkern/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Sunflora,https://www.smogon.com/dex/sm/pokemon/sunflora/,Solar Beam,Earth Power,Sludge Bomb,Giga Drain,Life Orb,Solar Power,Modest,92 HP/252 SpA/164 Spe/
Yanma,https://www.smogon.com/dex/sm/pokemon/yanma/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Wooper,https://www.smogon.com/dex/sm/pokemon/wooper/,Scald,Recover,Earthquake,Encore/Yawn,Eviolite,Water Absorb,Sassy,76 HP/236 Def/156 SpD/
Quagsire,https://www.smogon.com/dex/sm/pokemon/quagsire/,Scald,Earthquake,Recover,Curse/Toxic,Leftovers,Unaware,Relaxed,252 HP/252 Def/4 SpD/
Espeon,https://www.smogon.com/dex/sm/pokemon/espeon/,Psychic,Shadow Ball,Dazzling Gleam,Hidden Power/Trick,Choice Specs,Magic Bounce,Timid,4 Def/252 SpA/252 Spe/
Umbreon,https://www.smogon.com/dex/sm/pokemon/umbreon/,Wish,Protect,Toxic/Heal Bell,Foul Play,Leftovers,Synchronize,Calm,252 HP/4 Def/252 SpD/
Murkrow,https://www.smogon.com/dex/sm/pokemon/murkrow/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Slowking,https://www.smogon.com/dex/sm/pokemon/slowking/,Scald,Psyshock,Calm Mind/Toxic,Slack Off,Psychium Z,Regenerator,Bold,248 HP/252 Def/8 SpD/
Ivysaur,https://www.smogon.com/dex/sm/pokemon/ivysaur/,Growth,Sludge Bomb,Giga Drain/Solar Beam,Hidden Power,Eviolite,Chlorophyll,Modest,0 Atk/
Raticate,https://www.smogon.com/dex/sm/pokemon/raticate/,Double-Edge,Crunch,Pursuit,U-turn/Sucker Punch,Choice Band,Hustle,Jolly,252 Atk/4 Def/252 Spe/
Raticate-Alola,https://www.smogon.com/dex/sm/pokemon/raticate-alola/,Swords Dance,Double-Edge,Knock Off,Sucker Punch,Darkinium Z,Hustle,Adamant,252 Atk/4 SpD/252 Spe/
Raticate-Alola-Totem,https://www.smogon.com/dex/sm/pokemon/raticate-alola-totem/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Misdreavus,https://www.smogon.com/dex/sm/pokemon/misdreavus/,Hex/Foul Play,Will-O-Wisp,Taunt,Pain Split,Eviolite,Levitate,Timid,248 HP/8 Def/252 Spe/
Unown,https://www.smogon.com/dex/sm/pokemon/unown/,Hidden Power/Hidden Power,No movesets available,No movesets available,No movesets available,Choice Specs,Levitate,Timid,252 SpA/4 SpD/252 Spe/
Wobbuffet,https://www.smogon.com/dex/sm/pokemon/wobbuffet/,Encore,Counter,Mirror Coat,Safeguard/Destiny Bond,Sitrus Berry,Shadow Tag,Calm,252 HP/4 Def/252 SpD/
Girafarig,https://www.smogon.com/dex/sm/pokemon/girafarig/,Return,Psychic Fangs,Earthquake,Trick,Choice Band,Sap Sipper,Jolly,252 Atk/4 Def/252 Spe/
Pineco,https://www.smogon.com/dex/sm/pokemon/pineco/,Stealth Rock,Spikes,Rapid Spin,Payback/Explosion,Berry Juice,Sturdy,Jolly,236 Atk/36 Def/236 Spe/
Forretress,https://www.smogon.com/dex/sm/pokemon/forretress/,Gyro Ball,Spikes,Volt Switch,Toxic/Rapid Spin,Leftovers,Sturdy,Relaxed,0 Spe/
Dunsparce,https://www.smogon.com/dex/sm/pokemon/dunsparce/,Glare,Headbutt,Roost,Substitute/Rock Slide/Coil,Leftovers,Serene Grace,Adamant,252 HP/36 Atk/220 Spe/
Gligar,https://www.smogon.com/dex/sm/pokemon/gligar/,Earthquake,Roost,Stealth Rock/Defog,Knock Off/Toxic/U-turn,Eviolite,Immunity,Impish,252 HP/156 Def/100 SpD/
Steelix,https://www.smogon.com/dex/sm/pokemon/steelix/,Stealth Rock,Gyro Ball,Earthquake,Curse,Steelixite,Sturdy,Brave,0 Spe/
Snubbull,https://www.smogon.com/dex/sm/pokemon/snubbull/,Play Rough,Fire Punch/Earthquake,Fire Punch/Thief,Thief/Bulk Up/Thunder Wave,Eviolite,Intimidate,Jolly,36 HP/116 Atk/36 Def/116 SpD/196 Spe/
Spearow,https://www.smogon.com/dex/sm/pokemon/spearow/,Double-Edge,Drill Peck,Drill Run,U-turn,Life Orb,Sniper,Jolly,0 HP/
Granbull,https://www.smogon.com/dex/sm/pokemon/granbull/,Play Rough,Earthquake,Thunder Wave/Toxic,Roar/Heal Bell,Leftovers,Intimidate,Impish,248 HP/8 Atk/252 Def/
Qwilfish,https://www.smogon.com/dex/sm/pokemon/qwilfish/,Swords Dance,Liquidation/Waterfall,Poison Jab,Explosion,Waterium Z,Swift Swim,Adamant,252 Atk/4 Def/252 Spe/
Scizor,https://www.smogon.com/dex/sm/pokemon/scizor/,Swords Dance,Bullet Punch,Roost,Superpower/Knock Off,Scizorite,Light Metal,Impish,248 HP/16 Def/244 SpD/
Shuckle,https://www.smogon.com/dex/sm/pokemon/shuckle/,Sticky Web,Stealth Rock,Encore,Knock Off/Toxic/Infestation,Mental Herb,Sturdy,Careful,0 Atk/
Heracross,https://www.smogon.com/dex/sm/pokemon/heracross/,Swords Dance,Close Combat,Rock Blast,Bullet Seed/Substitute/Pin Missile,Heracronite,Moxie,Jolly,252 Atk/4 SpD/252 Spe/
Sneasel,https://www.smogon.com/dex/sm/pokemon/sneasel/,Knock Off,Icicle Crash,Ice Shard,Pursuit,Choice Band,Inner Focus,Jolly,252 Atk/4 Def/252 Spe/
Teddiursa,https://www.smogon.com/dex/sm/pokemon/teddiursa/,Facade,Crunch,Close Combat,Swords Dance/Protect,Toxic Orb,Quick Feet,Jolly,36 HP/196 Atk/36 Def/36 SpD/196 Spe/
Ursaring,https://www.smogon.com/dex/sm/pokemon/ursaring/,Swords Dance,Facade,Crunch,Close Combat,Flame Orb,Guts,Brave,0 Spe/
Slugma,https://www.smogon.com/dex/sm/pokemon/slugma/,Lava Plume,Earth Power/Clear Smog,Memento,Will-O-Wisp,Eviolite,Flame Body,Bold,36 HP/196 Def/116 SpA/116 SpD/36 Spe/
Magcargo,https://www.smogon.com/dex/sm/pokemon/magcargo/,Stealth Rock,Recover,Yawn/Toxic,Lava Plume,Leftovers,Flame Body,Calm,248 HP/8 Def/252 SpD/
Fearow,https://www.smogon.com/dex/sm/pokemon/fearow/,Frustration,Drill Peck,Drill Run,U-turn,Scope Lens,Sniper,Jolly,252 Atk/4 Def/252 Spe/
Swinub,https://www.smogon.com/dex/sm/pokemon/swinub/,Stealth Rock,Earthquake,Ice Shard,Endeavor,Focus Sash,Oblivious,Jolly,116 HP/196 Atk/196 Spe/
Piloswine,https://www.smogon.com/dex/sm/pokemon/piloswine/,Stealth Rock,Icicle Crash,Earthquake,Ice Shard,Eviolite,Thick Fat,Adamant,252 HP/252 Atk/4 Def/
Corsola,https://www.smogon.com/dex/sm/pokemon/corsola/,Scald,Toxic,Stealth Rock,Recover,Rocky Helmet,Regenerator,Bold,252 HP/252 Def/4 SpD/
Remoraid,https://www.smogon.com/dex/sm/pokemon/remoraid/,Water Spout,Hydro Pump,Fire Blast,Bullet Seed,Choice Scarf,Hustle,Naive,236 SpA/236 Spe/
Octillery,https://www.smogon.com/dex/sm/pokemon/octillery/,Surf/Hydro Pump,Fire Blast,Ice Beam,Energy Ball,Life Orb,Sniper,Quiet,0 Spe/
Delibird,https://www.smogon.com/dex/sm/pokemon/delibird/,Spikes,Rapid Spin,Icy Wind,Destiny Bond,Focus Sash,Vital Spirit,Timid,252 SpA/4 SpD/252 Spe/
Mantine,https://www.smogon.com/dex/sm/pokemon/mantine/,Roost,Defog,Scald,Haze/Air Slash,Leftovers,Water Absorb,Calm,252 HP/120 SpD/136 Spe/
Skarmory,https://www.smogon.com/dex/sm/pokemon/skarmory/,Roost,Spikes,Whirlwind,Toxic/Counter,Rocky Helmet,Sturdy,Bold,252 HP/252 Def/4 SpD/
Houndour,https://www.smogon.com/dex/sm/pokemon/houndour/,Fire Blast,Dark Pulse,Pursuit,Snarl/Destiny Bond,Choice Scarf,Flash Fire,Naive,36 Def/196 SpA/36 SpD/236 Spe/
Houndoom,https://www.smogon.com/dex/sm/pokemon/houndoom/,Nasty Plot,Fire Blast,Dark Pulse,Sludge Bomb,Houndoominite,Flash Fire,Timid,252 SpA/4 SpD/252 Spe/
Ekans,https://www.smogon.com/dex/sm/pokemon/ekans/,Coil,Gunk Shot,Earthquake,Sucker Punch,Berry Juice,Shed Skin,Careful,156 HP/84 Def/244 SpD/
Kingdra,https://www.smogon.com/dex/sm/pokemon/kingdra/,Hydro Pump,Surf,Draco Meteor,Ice Beam,Choice Specs,Swift Swim,Modest,4 HP/252 SpA/252 Spe/
Phanpy,https://www.smogon.com/dex/sm/pokemon/phanpy/,Stealth Rock,Earthquake,Knock Off,Ice Shard,Eviolite,Pickup,Careful,116 HP/116 Atk/116 Def/116 SpD/36 Spe/
Donphan,https://www.smogon.com/dex/sm/pokemon/donphan/,Rapid Spin,Earthquake,Knock Off,Ice Shard,Leftovers,Sturdy,Adamant,252 HP/252 Atk/4 Def/
Porygon2,https://www.smogon.com/dex/sm/pokemon/porygon2/,Recover,Ice Beam,Foul Play,Thunder Wave/Toxic,Eviolite,Trace,Bold,252 HP/252 Def/4 SpD/
Stantler,https://www.smogon.com/dex/sm/pokemon/stantler/,Double-Edge,Sucker Punch,Earthquake/Jump Kick,Energy Ball/Signal Beam,Life Orb,Intimidate,Hasty,252 Atk/4 SpA/252 Spe/
Smeargle,https://www.smogon.com/dex/sm/pokemon/smeargle/,Sticky Web,Nuzzle,Taunt,Toxic Thread/Whirlwind,Focus Sash,Own Tempo,Jolly,252 HP/4 Def/252 Spe/
Tyrogue,https://www.smogon.com/dex/sm/pokemon/tyrogue/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Hitmontop,https://www.smogon.com/dex/sm/pokemon/hitmontop/,Rapid Spin,Protect/Foresight,Low Kick/Close Combat,Toxic,Leftovers,Intimidate,Impish,252 HP/252 Def/4 SpD/
Smoochum,https://www.smogon.com/dex/sm/pokemon/smoochum/,Blizzard,Psychic,Hidden Power,Ice Beam/Substitute,Icium Z,Forewarn,Timid,240 SpA/240 Spe/
Elekid,https://www.smogon.com/dex/sm/pokemon/elekid/,Volt Switch,Thunderbolt,Psychic,Cross Chop/Hidden Power,Life Orb,Vital Spirit,Hasty,9 HP/
Arbok,https://www.smogon.com/dex/sm/pokemon/arbok/,Gunk Shot,Earthquake,Sucker Punch/Crunch,Switcheroo,Choice Band,Intimidate,Jolly,252 Atk/4 Def/252 Spe/
Magby,https://www.smogon.com/dex/sm/pokemon/magby/,Flare Blitz,Cross Chop,Mach Punch,Thunder Punch/Return,Life Orb,Vital Spirit,Jolly,0 HP/
Miltank,https://www.smogon.com/dex/sm/pokemon/miltank/,Stealth Rock,Seismic Toss,Milk Drink,Toxic,Leftovers,Thick Fat,Calm,252 HP/236 SpD/20 Spe/
Blissey,https://www.smogon.com/dex/sm/pokemon/blissey/,Seismic Toss,Toxic,Soft-Boiled,Stealth Rock/Heal Bell,Leftovers,Natural Cure,Bold,252 HP/252 Def/4 SpD/
Raikou,https://www.smogon.com/dex/sm/pokemon/raikou/,Calm Mind,Thunderbolt,Aura Sphere,Hidden Power,Fightinium Z,Pressure,Rash,4 Def/252 SpA/252 Spe/
Entei,https://www.smogon.com/dex/sm/pokemon/entei/,Sacred Fire,Extreme Speed,Stone Edge,Flare Blitz,Choice Band,Pressure,Adamant,252 Atk/4 Def/252 Spe/
Suicune,https://www.smogon.com/dex/sm/pokemon/suicune/,Calm Mind,Rest,Sleep Talk,Scald,Leftovers,Pressure,Bold,252 HP/160 Def/96 Spe/
Larvitar,https://www.smogon.com/dex/sm/pokemon/larvitar/,Dragon Dance,Earthquake,Stone Edge/Rock Slide,Superpower,Eviolite,Guts,Jolly,244 Atk/36 Def/36 SpD/188 Spe/
Pupitar,https://www.smogon.com/dex/sm/pokemon/pupitar/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Tyranitar,https://www.smogon.com/dex/sm/pokemon/tyranitar/,Ice Punch/Stone Edge/Rock Slide,Pursuit,Crunch/Foul Play,Earthquake,Choice Scarf,Sand Stream,Jolly,8 HP/208 Atk/40 Def/252 Spe/
Lugia,https://www.smogon.com/dex/sm/pokemon/lugia/,Roost,Toxic,Dragon Tail/Whirlwind,Ice Beam/Psychic,Leftovers,Multiscale,Bold,252 HP/160 Def/96 Spe/
Pikachu,https://www.smogon.com/dex/sm/pokemon/pikachu/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Pikachu-Alola,https://www.smogon.com/dex/sm/pokemon/pikachu-alola/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Pikachu-Hoenn,https://www.smogon.com/dex/sm/pokemon/pikachu-hoenn/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Pikachu-Kalos,https://www.smogon.com/dex/sm/pokemon/pikachu-kalos/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Pikachu-Original,https://www.smogon.com/dex/sm/pokemon/pikachu-original/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Pikachu-Partner,https://www.smogon.com/dex/sm/pokemon/pikachu-partner/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Pikachu-Sinnoh,https://www.smogon.com/dex/sm/pokemon/pikachu-sinnoh/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Pikachu-Starter,https://www.smogon.com/dex/sm/pokemon/pikachu-starter/,Thunderbolt,Zippy Zap,Splishy Splash,Calm Mind/Floaty Fall,No Item,Multiscale,Naive,
Pikachu-Unova,https://www.smogon.com/dex/sm/pokemon/pikachu-unova/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Ho-Oh,https://www.smogon.com/dex/sm/pokemon/ho-oh/,Sacred Fire,Brave Bird,Earthquake,Toxic,Choice Band,Regenerator,Adamant,4 HP/252 Atk/252 Spe/
Celebi,https://www.smogon.com/dex/sm/pokemon/celebi/,Nasty Plot,Psychic,Leaf Storm/Giga Drain,Recover/Dazzling Gleam,Grassium Z,Natural Cure,Timid,4 Def/252 SpA/252 Spe/
Treecko,https://www.smogon.com/dex/sm/pokemon/treecko/,Swords Dance,Bullet Seed,Drain Punch,Rock Slide/Acrobatics,Berry Juice,Unburden,Adamant,116 HP/156 Atk/156 Def/36 Spe/
Grovyle,https://www.smogon.com/dex/sm/pokemon/grovyle/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Sceptile,https://www.smogon.com/dex/sm/pokemon/sceptile/,Leaf Storm,Giga Drain,Earthquake/Focus Blast,Hidden Power,Life Orb,Overgrow,Timid,4 Def/252 SpA/252 Spe/
Torchic,https://www.smogon.com/dex/sm/pokemon/torchic/,Protect,Fire Blast,Hidden Power,Overheat/Substitute,Firium Z,Speed Boost,Modest,0 HP/
Combusken,https://www.smogon.com/dex/sm/pokemon/combusken/,Swords Dance,Flare Blitz,Sky Uppercut,Protect,Fightinium Z,Speed Boost,Jolly,252 Atk/4 SpD/252 Spe/
Blaziken,https://www.smogon.com/dex/sm/pokemon/blaziken/,Swords Dance,Flare Blitz,Low Kick,Knock Off/Stone Edge,Blazikenite,Speed Boost,Jolly,252 Atk/4 Def/252 Spe/
Mudkip,https://www.smogon.com/dex/sm/pokemon/mudkip/,Waterfall,Ice Beam,Superpower,Return/Double-Edge,Eviolite,Torrent,Impish,196 Atk/116 Def/196 SpD/
Marshtomp,https://www.smogon.com/dex/sm/pokemon/marshtomp/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Raichu,https://www.smogon.com/dex/sm/pokemon/raichu/,Nasty Plot,Thunderbolt,Focus Blast,Hidden Power,Life Orb,Lightning Rod,Timid,252 SpA/4 SpD/252 Spe/
Raichu-Alola,https://www.smogon.com/dex/sm/pokemon/raichu-alola/,Nasty Plot,Thunderbolt,Psychic/Psyshock,Substitute/Focus Blast,Aloraichium Z,Surge Surfer,Timid,4 Def/252 SpA/252 Spe/
Swampert,https://www.smogon.com/dex/sm/pokemon/swampert/,Waterfall,Earthquake,Toxic/Ice Punch,Superpower/Substitute/Stealth Rock,Swampertite,Swift Swim,Jolly,252 Atk/4 Def/252 Spe/
Poochyena,https://www.smogon.com/dex/sm/pokemon/poochyena/,Howl,Crunch,Play Rough,Fire Fang,Normalium Z,Rattled,Jolly,236 Atk/36 SpD/236 Spe/
Mightyena,https://www.smogon.com/dex/sm/pokemon/mightyena/,Crunch,Sucker Punch,Play Rough,Iron Tail,Life Orb,Moxie,Jolly,252 Atk/4 SpD/252 Spe/
Zigzagoon,https://www.smogon.com/dex/sm/pokemon/zigzagoon/,Belly Drum,Extreme Speed,Thief,Protect/Seed Bomb,Berry Juice,Pickup,Adamant,132 HP/196 Atk/108 Def/28 SpD/36 Spe/
Linoone,https://www.smogon.com/dex/sm/pokemon/linoone/,Belly Drum,Extreme Speed,Stomping Tantrum,Seed Bomb,Figy Berry,Gluttony,Adamant,148 HP/248 Atk/8 Def/88 SpD/16 Spe/
Wurmple,https://www.smogon.com/dex/sm/pokemon/wurmple/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Silcoon,https://www.smogon.com/dex/sm/pokemon/silcoon/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Beautifly,https://www.smogon.com/dex/sm/pokemon/beautifly/,Quiver Dance,Bug Buzz,Hidden Power,Roost,Life Orb,Swarm,Timid,252 SpA/4 SpD/252 Spe/
Cascoon,https://www.smogon.com/dex/sm/pokemon/cascoon/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Dustox,https://www.smogon.com/dex/sm/pokemon/dustox/,Quiver Dance,Iron Defense,Bug Buzz,Roost,Black Sludge,Shield Dust,Bold,0 Atk/
Sandshrew,https://www.smogon.com/dex/sm/pokemon/sandshrew/,Rapid Spin,Stealth Rock,Earthquake,Knock Off,Eviolite,Sand Rush,Adamant,36 HP/156 Atk/76 Def/36 SpD/196 Spe/
Sandshrew-Alola,https://www.smogon.com/dex/sm/pokemon/sandshrew-alola/,Icicle Spear,Iron Head,Knock Off/Rapid Spin,Earthquake,Choice Scarf,Slush Rush,Jolly,236 Atk/76 SpD/196 Spe/
Lotad,https://www.smogon.com/dex/sm/pokemon/lotad/,Surf,Giga Drain,Ice Beam,Rain Dance,Life Orb,Swift Swim,Modest,19 HP/
Lombre,https://www.smogon.com/dex/sm/pokemon/lombre/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Ludicolo,https://www.smogon.com/dex/sm/pokemon/ludicolo/,Rain Dance,Hydro Pump,Energy Ball/Giga Drain,Ice Beam,Life Orb,Swift Swim,Timid,29 HP/
Seedot,https://www.smogon.com/dex/sm/pokemon/seedot/,Growth,Solar Beam,Hidden Power,Explosion,Life Orb,Chlorophyll,Rash,19 HP/
Nuzleaf,https://www.smogon.com/dex/sm/pokemon/nuzleaf/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Shiftry,https://www.smogon.com/dex/sm/pokemon/shiftry/,Knock Off,Leaf Blade,Rock Slide,Explosion/Low Kick,Choice Scarf,Chlorophyll,Adamant,252 Atk/4 Def/252 Spe/
Taillow,https://www.smogon.com/dex/sm/pokemon/taillow/,Facade,Brave Bird,Quick Attack,Protect/U-turn,Flame Orb,Guts,Jolly,36 HP/236 Atk/236 Spe/
Swellow,https://www.smogon.com/dex/sm/pokemon/swellow/,Boomburst,U-turn,Heat Wave,Air Slash,Choice Specs,Scrappy,Timid,4 Def/252 SpA/252 Spe/
Wingull,https://www.smogon.com/dex/sm/pokemon/wingull/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Pelipper,https://www.smogon.com/dex/sm/pokemon/pelipper/,Scald,U-turn,Roost,Knock Off/Hurricane/Defog,Damp Rock,Drizzle,Relaxed,0 Spe/
Sandslash,https://www.smogon.com/dex/sm/pokemon/sandslash/,Rapid Spin,Toxic/Stealth Rock,Earthquake,Toxic/Knock Off,Leftovers,Sand Rush,Impish,252 HP/160 Def/96 Spe/
Sandslash-Alola,https://www.smogon.com/dex/sm/pokemon/sandslash-alola/,Stealth Rock/Rapid Spin,Icicle Crash,Iron Head/Knock Off,Earthquake,Shuca Berry,Slush Rush,Jolly,252 Atk/4 Def/252 Spe/
Ralts,https://www.smogon.com/dex/sm/pokemon/ralts/,Psychic,Dazzling Gleam,Thunderbolt,Destiny Bond/Memento,Choice Scarf,Trace,Timid,52 HP/236 SpA/196 Spe/
Kirlia,https://www.smogon.com/dex/sm/pokemon/kirlia/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Gardevoir,https://www.smogon.com/dex/sm/pokemon/gardevoir/,Psyshock,Moonblast,Hidden Power/Shadow Ball,Healing Wish/Trick,Choice Specs,Trace,Timid,4 Def/252 SpA/252 Spe/
Surskit,https://www.smogon.com/dex/sm/pokemon/surskit/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Masquerain,https://www.smogon.com/dex/sm/pokemon/masquerain/,Sticky Web,Bug Buzz,Air Slash/Hydro Pump,Quiver Dance,Focus Sash,Intimidate,Timid,252 SpA/4 SpD/252 Spe/
Shroomish,https://www.smogon.com/dex/sm/pokemon/shroomish/,Spore,Bullet Seed,Drain Punch,Synthesis,Eviolite,Effect Spore,Impish,36 HP/36 Atk/196 Def/116 SpD/76 Spe/
Breloom,https://www.smogon.com/dex/sm/pokemon/breloom/,Spore,Mach Punch,Bullet Seed,Rock Tomb/Swords Dance,Focus Sash,Technician,Adamant,252 Atk/4 SpD/252 Spe/
Slakoth,https://www.smogon.com/dex/sm/pokemon/slakoth/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Vigoroth,https://www.smogon.com/dex/sm/pokemon/vigoroth/,Bulk Up,Return/Facade,Slack Off,Substitute/Taunt,Eviolite,Vital Spirit,Jolly,252 HP/164 SpD/92 Spe/
Slaking,https://www.smogon.com/dex/sm/pokemon/slaking/,Retaliate/Return,Sucker Punch/Pursuit,Earthquake,Fire Blast,Life Orb,Truant,Naive,252 Atk/4 SpA/252 Spe/
Nidoran-F,https://www.smogon.com/dex/sm/pokemon/nidoran-f/,Toxic Spikes,Super Fang,Poison Jab,Thief,Berry Juice,Poison Point,Impish,60 Atk/180 Def/196 SpD/28 Spe/
Nincada,https://www.smogon.com/dex/sm/pokemon/nincada/,Final Gambit,Leech Life,Giga Drain,Toxic,Eviolite,Compound Eyes,Naive,188 HP/76 Atk/36 Def/196 Spe/
Ninjask,https://www.smogon.com/dex/sm/pokemon/ninjask/,Swords Dance,Leech Life,Aerial Ace,Dig,Groundium Z,Speed Boost,Adamant,252 Atk/4 Def/252 Spe/
Shedinja,https://www.smogon.com/dex/sm/pokemon/shedinja/,Will-O-Wisp,Swords Dance/Toxic,X-Scissor/Protect,Shadow Ball/X-Scissor/Shadow Sneak,Focus Sash,Wonder Guard,Naive,0 Def/0 SpD/
Whismur,https://www.smogon.com/dex/sm/pokemon/whismur/,Hyper Voice,Shadow Ball,Ice Beam,Hammer Arm/Fire Blast,Life Orb,Soundproof,Quiet,244 HP/36 Def/188 SpA/36 SpD/
Loudred,https://www.smogon.com/dex/sm/pokemon/loudred/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Exploud,https://www.smogon.com/dex/sm/pokemon/exploud/,Boomburst,Focus Blast,Fire Blast,Surf,Choice Specs,Scrappy,Timid,4 Def/252 SpA/252 Spe/
Makuhita,https://www.smogon.com/dex/sm/pokemon/makuhita/,Belly Drum,Close Combat,Knock Off,Heavy Slam/Bullet Punch,Berry Juice,Thick Fat,Jolly,20 HP/196 Atk/36 Def/236 Spe/
Hariyama,https://www.smogon.com/dex/sm/pokemon/hariyama/,Revenge/Close Combat,Toxic/Knock Off,Rest,Sleep Talk,Leftovers,Thick Fat,Impish,12 HP/252 Def/244 SpD/
Azurill,https://www.smogon.com/dex/sm/pokemon/azurill/,Double-Edge,Knock Off,Iron Tail/Waterfall,Return,Life Orb,Huge Power,Brave,0 Spe/
Nosepass,https://www.smogon.com/dex/sm/pokemon/nosepass/,Stealth Rock,Rock Blast,Thunder Wave,Volt Switch,Berry Juice,Sturdy,Relaxed,76 Atk/236 Def/196 SpD/
Venusaur,https://www.smogon.com/dex/sm/pokemon/venusaur/,Growth,Sludge Bomb,Giga Drain,Hidden Power,Grassium Z,Chlorophyll,Modest,4 Def/252 SpA/252 Spe/
Nidorina,https://www.smogon.com/dex/sm/pokemon/nidorina/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-
Skitty,https://www.smogon.com/dex/sm/pokemon/skitty/,Fake Out,Sucker Punch,Double-Edge,Foresight/Thunder Wave,Life Orb,Normalize,Adamant,236 Atk/76 SpD/196 Spe/
Delcatty,https://www.smogon.com/dex/sm/pokemon/delcatty/,Fake Out,Sucker Punch,Double-Edge/Return,Thunder Wave,Silk Scarf,Normalize,Jolly,252 Atk/4 Def/252 Spe/
Sableye,https://www.smogon.com/dex/sm/pokemon/sableye/,Knock Off,Will-O-Wisp,Recover,Protect,Sablenite,Prankster,Careful,248 HP/8 Def/252 SpD/
Mawile,https://www.smogon.com/dex/sm/pokemon/mawile/,Substitute,Thunder Punch,Ice Punch,Focus Punch,Mawilite,Intimidate,Adamant,144 HP/252 Atk/112 Spe/
