Name,Type1,Type2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Abilities,Weight (kg),Height (m)
granbull,Fairy,,90,120,75,60,60,45,"Intimidate, Quick Feet, Rattled",48.7,1.4
qwilfish,Water,Poison,65,95,85,55,55,85,"Poison Point, Swift Swim, Intimidate",3.9,0.5
qwilfishhisui,Dark,Poison,65,95,85,55,55,85,"Poison Point, Swift Swim, Intimidate",3.9,0.5
scizor,Bug,Steel,70,130,100,55,80,65,"Swarm, Technician, Light Metal",118,1.8
scizormega,Bug,Steel,70,150,140,65,100,75,Technician,125,2
shuckle,Bug,Rock,20,10,230,10,230,5,"Sturdy, Gluttony, Contrary",20.5,0.6
heracross,Bug,Fighting,80,125,75,40,95,85,"Swarm, Guts, Moxie",54,1.5
heracrossmega,Bug,Fighting,80,185,115,40,105,75,Skill Link,62.5,1.7
sneasel,Dark,Ice,55,95,55,35,75,115,"Inner Focus, Keen Eye, Pickpocket",28,0.9
sneaselhisui,Fighting,Poison,55,95,55,35,75,115,"Inner Focus, Keen Eye, Pickpocket",27,0.9
teddiursa,Normal,,60,80,50,50,50,40,"Pickup, Quick Feet, Honey Gather",8.8,0.6
ursaring,Normal,,90,130,75,75,75,55,"Guts, Quick Feet, Unnerve",125.8,1.8
slugma,Fire,,40,40,40,70,40,20,"Magma Armor, Flame Body, Weak Armor",35,0.7
magcargo,Fire,Rock,60,50,120,90,80,30,"Magma Armor, Flame Body, Weak Armor",55,0.8
swinub,Ice,Ground,50,50,40,30,30,50,"Oblivious, Snow Cloak, Thick Fat",6.5,0.4
piloswine,Ice,Ground,100,100,80,60,60,50,"Oblivious, Snow Cloak, Thick Fat",55.8,1.1
corsola,Water,Rock,65,55,95,65,95,35,"Hustle, Natural Cure, Regenerator",5,0.6
corsolagalar,Ghost,,60,55,100,65,100,30,"Weak Armor, Cursed Body",0.5,0.6
remoraid,Water,,35,65,35,65,35,65,"Hustle, Sniper, Moody",12,0.6
octillery,Water,,75,105,75,105,75,45,"Suction Cups, Sniper, Moody",28.5,0.9
delibird,Ice,Flying,45,55,45,65,45,75,"Vital Spirit, Hustle, Insomnia",16,0.9
mantine,Water,Flying,85,40,70,80,140,70,"Swift Swim, Water Absorb, Water Veil",220,2.1
skarmory,Steel,Flying,65,80,140,40,70,70,"Keen Eye, Sturdy, Weak Armor",50.5,1.7
houndour,Dark,Fire,45,60,30,80,50,65,"Early Bird, Flash Fire, Unnerve",10.8,0.6
houndoom,Dark,Fire,75,90,50,110,80,95,"Early Bird, Flash Fire, Unnerve",35,1.4
houndoommega,Dark,Fire,75,90,90,140,90,115,Solar Power,49.5,1.9
kingdra,Water,Dragon,75,95,95,95,95,85,"Swift Swim, Sniper, Damp",152,1.8
phanpy,Ground,,90,60,60,40,40,40,"Pickup, Sand Veil",33.5,0.5
donphan,Ground,,90,120,120,60,60,50,"Sturdy, Sand Veil",120,1.1
porygon2,Normal,,85,80,90,105,95,60,"Trace, Download, Analytic",32.5,0.6
stantler,Normal,,73,95,62,85,65,85,"Intimidate, Frisk, Sap Sipper",71.2,1.4
smeargle,Normal,,55,20,35,20,45,75,"Own Tempo, Technician, Moody",58,1.2
tyrogue,Fighting,,35,35,35,35,35,35,"Guts, Steadfast, Vital Spirit",21,0.7
hitmontop,Fighting,,50,95,95,35,110,70,"Intimidate, Technician, Steadfast",48,1.4
smoochum,Ice,Psychic,45,30,15,85,65,65,"Oblivious, Forewarn, Hydration",6,0.4
elekid,Electric,,45,63,37,65,55,95,"Static, Vital Spirit",23.5,0.6
magby,Fire,,45,75,37,70,55,83,"Flame Body, Vital Spirit",21.4,0.7
miltank,Normal,,95,80,105,40,70,100,"Thick Fat, Scrappy, Sap Sipper",75.5,1.2
blissey,Normal,,255,10,10,75,135,55,"Natural Cure, Serene Grace, Healer",46.8,1.5
raikou,Electric,,90,85,75,115,100,115,"Pressure, Inner Focus",178,1.9
entei,Fire,,115,115,85,90,75,100,"Pressure, Inner Focus",198,2.1
suicune,Water,,100,75,115,90,115,85,"Pressure, Inner Focus",187,2
larvitar,Rock,Ground,50,64,50,45,50,41,"Guts, Sand Veil",72,0.6
pupitar,Rock,Ground,70,84,70,65,70,51,Shed Skin,152,1.2
tyranitar,Rock,Dark,100,134,110,95,100,61,"Sand Stream, Unnerve",202,2
tyranitarmega,Rock,Dark,100,164,150,95,120,71,Sand Stream,255,2.5
lugia,Psychic,Flying,106,90,130,90,154,110,"Pressure, Multiscale",216,5.2
hooh,Fire,Flying,106,130,90,110,154,90,"Pressure, Regenerator",199,3.8
celebi,Psychic,Grass,100,100,100,100,100,100,Natural Cure,5,0.6
treecko,Grass,,40,45,35,65,55,70,"Overgrow, Unburden",5,0.5
grovyle,Grass,,50,65,45,85,65,95,"Overgrow, Unburden",21.6,0.9
sceptile,Grass,,70,85,65,105,85,120,"Overgrow, Unburden",52.2,1.7
sceptilemega,Grass,Dragon,70,110,75,145,85,145,Lightning Rod,55.2,1.9
torchic,Fire,,45,60,40,70,50,45,"Blaze, Speed Boost",2.5,0.4
combusken,Fire,Fighting,60,85,60,85,60,55,"Blaze, Speed Boost",19.5,0.9
blaziken,Fire,Fighting,80,120,70,110,70,80,"Blaze, Speed Boost",52,1.9
blazikenmega,Fire,Fighting,80,160,80,130,80,100,Speed Boost,52,1.9
mudkip,Water,,50,70,50,50,50,40,"Torrent, Damp",7.6,0.4
marshtomp,Water,Ground,70,85,70,60,70,50,"Torrent, Damp",28,0.7
swampert,Water,Ground,100,110,90,85,90,60,"Torrent, Damp",81.9,1.5
swampertmega,Water,Ground,100,150,110,95,110,70,Swift Swim,102,1.9
poochyena,Dark,,35,55,35,30,30,35,"Run Away, Quick Feet, Rattled",13.6,0.5
mightyena,Dark,,70,90,70,60,60,70,"Intimidate, Quick Feet, Moxie",37,1
zigzagoon,Normal,,38,30,41,30,41,60,"Pickup, Gluttony, Quick Feet",17.5,0.4
zigzagoongalar,Dark,Normal,38,30,41,30,41,60,"Pickup, Gluttony, Quick Feet",17.5,0.4
linoone,Normal,,78,70,61,50,61,100,"Pickup, Gluttony, Quick Feet",32.5,0.5
linoonegalar,Dark,Normal,78,70,61,50,61,100,"Pickup, Gluttony, Quick Feet",32.5,0.5
wurmple,Bug,,45,45,35,20,30,20,"Shield Dust, Run Away",3.6,0.3
silcoon,Bug,,50,35,55,25,25,15,Shed Skin,10,0.6
beautifly,Bug,Flying,60,70,50,100,50,65,"Swarm, Rivalry",28.4,1
cascoon,Bug,,50,35,55,25,25,15,Shed Skin,11.5,0.7
dustox,Bug,Poison,60,50,70,50,90,65,"Shield Dust, Compound Eyes",31.6,1.2
lotad,Water,Grass,40,30,30,40,50,30,"Swift Swim, Rain Dish, Own Tempo",2.6,0.5
lombre,Water,Grass,60,50,50,60,70,50,"Swift Swim, Rain Dish, Own Tempo",32.5,1.2
ludicolo,Water,Grass,80,70,70,90,100,70,"Swift Swim, Rain Dish, Own Tempo",55,1.5
seedot,Grass,,40,40,50,30,30,30,"Chlorophyll, Early Bird, Pickpocket",4,0.5
nuzleaf,Grass,Dark,70,70,40,60,40,60,"Chlorophyll, Early Bird, Pickpocket",28,1
shiftry,Grass,Dark,90,100,60,90,60,80,"Chlorophyll, Wind Rider, Pickpocket",59.6,1.3
taillow,Normal,Flying,40,55,30,30,30,85,"Guts, Scrappy",2.3,0.3
swellow,Normal,Flying,60,85,60,75,50,125,"Guts, Scrappy",19.8,0.7
wingull,Water,Flying,40,30,30,55,30,85,"Keen Eye, Hydration, Rain Dish",9.5,0.6
pelipper,Water,Flying,60,50,100,95,70,65,"Keen Eye, Drizzle, Rain Dish",28,1.2
ralts,Psychic,Fairy,28,25,25,45,35,40,"Synchronize, Trace, Telepathy",6.6,0.4
kirlia,Psychic,Fairy,38,35,35,65,55,50,"Synchronize, Trace, Telepathy",20.2,0.8
gardevoir,Psychic,Fairy,68,65,65,125,115,80,"Synchronize, Trace, Telepathy",48.4,1.6
gardevoirmega,Psychic,Fairy,68,85,65,165,135,100,Pixilate,48.4,1.6
surskit,Bug,Water,40,30,32,50,52,65,"Swift Swim, Rain Dish",1.7,0.5
masquerain,Bug,Flying,70,60,62,100,82,80,"Intimidate, Unnerve",3.6,0.8
shroomish,Grass,,60,40,60,40,60,35,"Effect Spore, Poison Heal, Quick Feet",4.5,0.4
breloom,Grass,Fighting,60,130,80,60,60,70,"Effect Spore, Poison Heal, Technician",39.2,1.2
slakoth,Normal,,60,60,60,35,35,30,Truant,24,0.8
vigoroth,Normal,,80,80,80,55,55,90,Vital Spirit,46.5,1.4
slaking,Normal,,150,160,100,95,65,100,Truant,130.5,2
nincada,Bug,Ground,31,45,90,30,30,40,"Compound Eyes, Run Away",5.5,0.5
ninjask,Bug,Flying,61,90,45,50,50,160,"Speed Boost, Infiltrator",12,0.8
shedinja,Bug,Ghost,1,90,45,30,30,40,Wonder Guard,1.2,0.8
whismur,Normal,,64,51,23,51,23,28,"Soundproof, Rattled",16.3,0.6
loudred,Normal,,84,71,43,71,43,48,"Soundproof, Scrappy",40.5,1
exploud,Normal,,104,91,63,91,73,68,"Soundproof, Scrappy",84,1.5
makuhita,Fighting,,72,60,30,20,30,25,"Thick Fat, Guts, Sheer Force",86.4,1
hariyama,Fighting,,144,120,60,40,60,50,"Thick Fat, Guts, Sheer Force",253.8,2.3
azurill,Normal,Fairy,50,20,40,20,40,20,"Thick Fat, Huge Power, Sap Sipper",2,0.2
nosepass,Rock,,30,45,135,45,90,30,"Sturdy, Magnet Pull, Sand Force",97,1
skitty,Normal,,50,45,45,35,35,50,"Cute Charm, Normalize, Wonder Skin",11,0.6
delcatty,Normal,,70,65,65,55,55,90,"Cute Charm, Normalize, Wonder Skin",32.6,1.1
sableye,Dark,Ghost,50,75,75,65,65,50,"Keen Eye, Stall, Prankster",11,0.5
sableyemega,Dark,Ghost,50,85,125,85,115,20,Magic Bounce,161,0.5
mawile,Steel,Fairy,50,85,85,55,55,50,"Hyper Cutter, Intimidate, Sheer Force",11.5,0.6
mawilemega,Steel,Fairy,50,105,125,55,95,50,Huge Power,23.5,1
aron,Steel,Rock,50,70,100,40,40,30,"Sturdy, Rock Head, Heavy Metal",60,0.4
lairon,Steel,Rock,60,90,140,50,50,40,"Sturdy, Rock Head, Heavy Metal",120,0.9
aggron,Steel,Rock,70,110,180,60,60,50,"Sturdy, Rock Head, Heavy Metal",360,2.1
aggronmega,Steel,,70,140,230,60,80,50,Filter,395,2.2
meditite,Fighting,Psychic,30,40,55,40,55,60,"Pure Power, Telepathy",11.2,0.6
medicham,Fighting,Psychic,60,60,75,60,75,80,"Pure Power, Telepathy",31.5,1.3
medichammega,Fighting,Psychic,60,100,85,80,85,100,Pure Power,31.5,1.3
electrike,Electric,,40,45,40,65,40,65,"Static, Lightning Rod, Minus",15.2,0.6
manectric,Electric,,70,75,60,105,60,105,"Static, Lightning Rod, Minus",40.2,1.5
manectricmega,Electric,,70,75,80,135,80,135,Intimidate,44,1.8
plusle,Electric,,60,50,40,85,75,95,"Plus, Lightning Rod",4.2,0.4
minun,Electric,,60,40,50,75,85,95,"Minus, Volt Absorb",4.2,0.4
volbeat,Bug,,65,73,75,47,85,85,"Illuminate, Swarm, Prankster",17.7,0.7
illumise,Bug,,65,47,75,73,85,85,"Oblivious, Tinted Lens, Prankster",17.7,0.6
roselia,Grass,Poison,50,60,45,100,80,65,"Natural Cure, Poison Point, Leaf Guard",2,0.3
gulpin,Poison,,70,43,53,43,53,40,"Liquid Ooze, Sticky Hold, Gluttony",10.3,0.4
swalot,Poison,,100,73,83,73,83,55,"Liquid Ooze, Sticky Hold, Gluttony",80,1.7
carvanha,Water,Dark,45,90,20,65,20,65,"Rough Skin, Speed Boost",20.8,0.8
sharpedo,Water,Dark,70,120,40,95,40,95,"Rough Skin, Speed Boost",88.8,1.8
sharpedomega,Water,Dark,70,140,70,110,65,105,Strong Jaw,130.3,2.5
wailmer,Water,,130,70,35,70,35,60,"Water Veil, Oblivious, Pressure",130,2
wailord,Water,,170,90,45,90,45,60,"Water Veil, Oblivious, Pressure",398,14.5
numel,Fire,Ground,60,60,40,65,45,35,"Oblivious, Simple, Own Tempo",24,0.7
camerupt,Fire,Ground,70,100,70,105,75,40,"Magma Armor, Solid Rock, Anger Point",220,1.9
cameruptmega,Fire,Ground,70,120,100,145,105,20,Sheer Force,320.5,2.5
torkoal,Fire,,70,85,140,85,70,20,"White Smoke, Drought, Shell Armor",80.4,0.5
spoink,Psychic,,60,25,35,70,80,60,"Thick Fat, Own Tempo, Gluttony",30.6,0.7
grumpig,Psychic,,80,45,65,90,110,80,"Thick Fat, Own Tempo, Gluttony",71.5,0.9
spinda,Normal,,60,60,60,60,60,60,"Own Tempo, Tangled Feet, Contrary",5,1.1
trapinch,Ground,,45,100,45,45,45,10,"Hyper Cutter, Arena Trap, Sheer Force",15,0.7
vibrava,Ground,Dragon,50,70,50,50,50,70,Levitate,15.3,1.1
flygon,Ground,Dragon,80,100,80,80,80,100,Levitate,82,2
cacnea,Grass,,50,85,40,85,40,35,"Sand Veil, Water Absorb",51.3,0.4
cacturne,Grass,Dark,70,115,60,115,60,55,"Sand Veil, Water Absorb",77.4,1.3
swablu,Normal,Flying,45,40,60,40,75,50,"Natural Cure, Cloud Nine",1.2,0.4
altaria,Dragon,Flying,75,70,90,70,105,80,"Natural Cure, Cloud Nine",20.6,1.1
altariamega,Dragon,Fairy,75,110,110,110,105,80,Pixilate,20.6,1.5
zangoose,Normal,,73,115,60,60,60,90,"Immunity, Toxic Boost",40.3,1.3
seviper,Poison,,73,100,60,100,60,65,"Shed Skin, Infiltrator",52.5,2.7
lunatone,Rock,Psychic,90,55,65,95,85,70,Levitate,168,1
solrock,Rock,Psychic,90,95,85,55,65,70,Levitate,154,1.2
barboach,Water,Ground,50,48,43,46,41,60,"Oblivious, Anticipation, Hydration",1.9,0.4
whiscash,Water,Ground,110,78,73,76,71,60,"Oblivious, Anticipation, Hydration",23.6,0.9
corphish,Water,,43,80,65,50,35,35,"Hyper Cutter, Shell Armor, Adaptability",11.5,0.6
crawdaunt,Water,Dark,63,120,85,90,55,55,"Hyper Cutter, Shell Armor, Adaptability",32.8,1.1
baltoy,Ground,Psychic,40,40,55,40,70,55,Levitate,21.5,0.5
claydol,Ground,Psychic,60,70,105,70,120,75,Levitate,108,1.5
lileep,Rock,Grass,66,41,77,61,87,23,"Suction Cups, Storm Drain",23.8,1
cradily,Rock,Grass,86,81,97,81,107,43,"Suction Cups, Storm Drain",60.4,1.5
anorith,Rock,Bug,45,95,50,40,50,75,"Battle Armor, Swift Swim",12.5,0.7
armaldo,Rock,Bug,75,125,100,70,80,45,"Battle Armor, Swift Swim",68.2,1.5
feebas,Water,,20,15,20,10,55,80,"Swift Swim, Oblivious, Adaptability",7.4,0.6
milotic,Water,,95,60,79,100,125,81,"Marvel Scale, Competitive, Cute Charm",162,6.2
castform,Normal,,70,70,70,70,70,70,Forecast,0.8,0.3
castformsunny,Fire,,70,70,70,70,70,70,Forecast,0.8,0.3
castformrainy,Water,,70,70,70,70,70,70,Forecast,0.8,0.3
castformsnowy,Ice,,70,70,70,70,70,70,Forecast,0.8,0.3
kecleon,Normal,,60,90,70,60,120,40,"Color Change, Protean",22,1
shuppet,Ghost,,44,75,35,63,33,45,"Insomnia, Frisk, Cursed Body",2.3,0.6
banette,Ghost,,64,115,65,83,63,65,"Insomnia, Frisk, Cursed Body",12.5,1.1
banettemega,Ghost,,64,165,75,93,83,75,Prankster,13,1.2
duskull,Ghost,,20,40,90,30,90,25,"Levitate, Frisk",15,0.8
dusclops,Ghost,,40,70,130,60,130,25,"Pressure, Frisk",30.6,1.6
tropius,Grass,Flying,99,68,83,72,87,51,"Chlorophyll, Solar Power, Harvest",100,2
chimecho,Psychic,,75,50,80,95,90,65,Levitate,1,0.6
absol,Dark,,65,130,60,75,60,75,"Pressure, Super Luck, Justified",47,1.2
absolmega,Dark,,65,150,60,115,60,115,Magic Bounce,49,1.2
wynaut,Psychic,,95,23,48,23,48,23,"Shadow Tag, Telepathy",14,0.6
snorunt,Ice,,50,50,50,50,50,50,"Inner Focus, Ice Body, Moody",16.8,0.7
glalie,Ice,,80,80,80,80,80,80,"Inner Focus, Ice Body, Moody",256.5,1.5
glaliemega,Ice,,80,120,80,120,80,100,Refrigerate,350.2,2.1
spheal,Ice,Water,70,40,50,55,50,25,"Thick Fat, Ice Body, Oblivious",39.5,0.8
sealeo,Ice,Water,90,60,70,75,70,45,"Thick Fat, Ice Body, Oblivious",87.6,1.1
walrein,Ice,Water,110,80,90,95,90,65,"Thick Fat, Ice Body, Oblivious",150.6,1.4
clamperl,Water,,35,64,85,74,55,32,"Shell Armor, Rattled",52.5,0.4
huntail,Water,,55,104,105,94,75,52,"Swift Swim, Water Veil",27,1.7
gorebyss,Water,,55,84,105,114,75,52,"Swift Swim, Hydration",22.6,1.8
relicanth,Water,Rock,100,90,130,45,65,55,"Swift Swim, Rock Head, Sturdy",23.4,1
luvdisc,Water,,43,30,55,40,65,97,"Swift Swim, Hydration",8.7,0.6
bagon,Dragon,,45,75,60,40,30,50,"Rock Head, Sheer Force",42.1,0.6
shelgon,Dragon,,65,95,100,60,50,50,"Rock Head, Overcoat",110.5,1.1
salamence,Dragon,Flying,95,135,80,110,80,100,"Intimidate, Moxie",102.6,1.5
salamencemega,Dragon,Flying,95,145,130,120,90,120,Aerilate,112.6,1.8
beldum,Steel,Psychic,40,55,80,35,60,30,"Clear Body, Light Metal",95.2,0.6
metang,Steel,Psychic,60,75,100,55,80,50,"Clear Body, Light Metal",202.5,1.2
metagross,Steel,Psychic,80,135,130,95,90,70,"Clear Body, Light Metal",550,1.6
metagrossmega,Steel,Psychic,80,145,150,105,110,110,Tough Claws,942.9,2.5
regirock,Rock,,80,100,200,50,100,50,"Clear Body, Sturdy",230,1.7
regice,Ice,,80,50,100,100,200,50,"Clear Body, Ice Body",175,1.8
registeel,Steel,,80,75,150,75,150,50,"Clear Body, Light Metal",205,1.9
latias,Dragon,Psychic,80,80,90,110,130,110,Levitate,40,1.4
latiasmega,Dragon,Psychic,80,100,120,140,150,110,Levitate,52,1.8
latios,Dragon,Psychic,80,90,80,130,110,110,Levitate,60,2
latiosmega,Dragon,Psychic,80,130,100,160,120,110,Levitate,70,2.3
kyogre,Water,,100,100,90,150,140,90,Drizzle,352,4.5
kyogreprimal,Water,,100,150,90,180,160,90,Primordial Sea,430,9.8
groudon,Ground,,100,150,140,100,90,90,Drought,950,3.5
groudonprimal,Ground,Fire,100,180,160,150,90,90,Desolate Land,999.7,5
rayquaza,Dragon,Flying,105,150,90,150,90,95,Air Lock,206.5,7
rayquazamega,Dragon,Flying,105,180,100,180,100,115,Delta Stream,392,10.8
jirachi,Steel,Psychic,100,100,100,100,100,100,Serene Grace,1.1,0.3
deoxys,Psychic,,50,150,50,150,50,150,Pressure,60.8,1.7
deoxysattack,Psychic,,50,180,20,180,20,150,Pressure,60.8,1.7
deoxysdefense,Psychic,,50,70,160,70,160,90,Pressure,60.8,1.7
deoxysspeed,Psychic,,50,95,90,95,90,180,Pressure,60.8,1.7
turtwig,Grass,,55,68,64,45,55,31,"Overgrow, Shell Armor",10.2,0.4
grotle,Grass,,75,89,85,55,65,36,"Overgrow, Shell Armor",97,1.1
torterra,Grass,Ground,95,109,105,75,85,56,"Overgrow, Shell Armor",310,2.2
chimchar,Fire,,44,58,44,58,44,61,"Blaze, Iron Fist",6.2,0.5
monferno,Fire,Fighting,64,78,52,78,52,81,"Blaze, Iron Fist",22,0.9
infernape,Fire,Fighting,76,104,71,104,71,108,"Blaze, Iron Fist",55,1.2
piplup,Water,,53,51,53,61,56,40,"Torrent, Competitive",5.2,0.4
prinplup,Water,,64,66,68,81,76,50,"Torrent, Competitive",23,0.8
empoleon,Water,Steel,84,86,88,111,101,60,"Torrent, Competitive",84.5,1.7
starly,Normal,Flying,40,55,30,30,30,60,"Keen Eye, Reckless",2,0.3
staravia,Normal,Flying,55,75,50,40,40,80,"Intimidate, Reckless",15.5,0.6
staraptor,Normal,Flying,85,120,70,50,60,100,"Intimidate, Reckless",24.9,1.2
bidoof,Normal,,59,45,40,35,40,31,"Simple, Unaware, Moody",20,0.5
bibarel,Normal,Water,79,85,60,55,60,71,"Simple, Unaware, Moody",31.5,1
kricketot,Bug,,37,25,41,25,41,25,"Shed Skin, Run Away",2.2,0.3
kricketune,Bug,,77,85,51,55,51,65,"Swarm, Technician",25.5,1
shinx,Electric,,45,65,34,40,34,45,"Rivalry, Intimidate, Guts",9.5,0.5
luxio,Electric,,60,85,49,60,49,60,"Rivalry, Intimidate, Guts",30.5,0.9
luxray,Electric,,80,120,79,95,79,70,"Rivalry, Intimidate, Guts",42,1.4
budew,Grass,Poison,40,30,35,50,70,55,"Natural Cure, Poison Point, Leaf Guard",1.2,0.2
roserade,Grass,Poison,60,70,65,125,105,90,"Natural Cure, Poison Point, Technician",14.5,0.9
cranidos,Rock,,67,125,40,30,30,58,"Mold Breaker, Sheer Force",31.5,0.9
rampardos,Rock,,97,165,60,65,50,58,"Mold Breaker, Sheer Force",102.5,1.6
shieldon,Rock,Steel,30,42,118,42,88,30,"Sturdy, Soundproof",57,0.5
bastiodon,Rock,Steel,60,52,168,47,138,30,"Sturdy, Soundproof",149.5,1.3
burmy,Bug,,40,29,45,29,45,36,"Shed Skin, Overcoat",3.4,0.2
wormadam,Bug,Grass,60,59,85,79,105,36,"Anticipation, Overcoat",6.5,0.5
wormadamsandy,Bug,Ground,60,79,105,59,85,36,"Anticipation, Overcoat",6.5,0.5
wormadamtrash,Bug,Steel,60,69,95,69,95,36,"Anticipation, Overcoat",6.5,0.5
mothim,Bug,Flying,70,94,50,94,50,66,"Swarm, Tinted Lens",23.3,0.9
combee,Bug,Flying,30,30,42,30,42,70,"Honey Gather, Hustle",5.5,0.3
vespiquen,Bug,Flying,70,80,102,80,102,40,"Pressure, Unnerve",38.5,1.2
pachirisu,Electric,,60,45,70,45,90,95,"Run Away, Pickup, Volt Absorb",3.9,0.4
buizel,Water,,55,65,35,60,30,85,"Swift Swim, Water Veil",29.5,0.7
floatzel,Water,,85,105,55,85,50,115,"Swift Swim, Water Veil",33.5,1.1
cherubi,Grass,,45,35,45,62,53,35,Chlorophyll,3.3,0.4
cherrim,Grass,,70,60,70,87,78,85,Flower Gift,9.3,0.5
cherrimsunshine,Grass,,70,60,70,87,78,85,Flower Gift,9.3,0.5
shellos,Water,,76,48,48,57,62,34,"Sticky Hold, Storm Drain, Sand Force",6.3,0.3
gastrodon,Water,Ground,111,83,68,92,82,39,"Sticky Hold, Storm Drain, Sand Force",29.9,0.9
ambipom,Normal,,75,100,66,60,66,115,"Technician, Pickup, Skill Link",20.3,1.2
drifloon,Ghost,Flying,90,50,34,60,44,70,"Aftermath, Unburden, Flare Boost",1.2,0.4
drifblim,Ghost,Flying,150,80,44,90,54,80,"Aftermath, Unburden, Flare Boost",15,1.2
buneary,Normal,,55,66,44,44,56,85,"Run Away, Klutz, Limber",5.5,0.4
lopunny,Normal,,65,76,84,54,96,105,"Cute Charm, Klutz, Limber",33.3,1.2
lopunnymega,Normal,Fighting,65,136,94,54,96,135,Scrappy,28.3,1.3
mismagius,Ghost,,60,60,60,105,105,105,Levitate,4.4,0.9
honchkrow,Dark,Flying,100,125,52,105,52,71,"Insomnia, Super Luck, Moxie",27.3,0.9
glameow,Normal,,49,55,42,42,37,85,"Limber, Own Tempo, Keen Eye",3.9,0.5
purugly,Normal,,71,82,64,64,59,112,"Thick Fat, Own Tempo, Defiant",43.8,1
chingling,Psychic,,45,30,50,65,50,45,Levitate,0.6,0.2
stunky,Poison,Dark,63,63,47,41,41,74,"Stench, Aftermath, Keen Eye",19.2,0.4
skuntank,Poison,Dark,103,93,67,71,61,84,"Stench, Aftermath, Keen Eye",38,1
bronzor,Steel,Psychic,57,24,86,24,86,23,"Levitate, Heatproof, Heavy Metal",60.5,0.5
bronzong,Steel,Psychic,67,89,116,79,116,33,"Levitate, Heatproof, Heavy Metal",187,1.3
bonsly,Rock,,50,80,95,10,45,10,"Sturdy, Rock Head, Rattled",15,0.5
mimejr,Psychic,Fairy,20,25,45,70,90,60,"Soundproof, Filter, Technician",13,0.6
happiny,Normal,,100,5,5,15,65,30,"Natural Cure, Serene Grace, Friend Guard",24.4,0.6
chatot,Normal,Flying,76,65,45,92,42,91,"Keen Eye, Tangled Feet, Big Pecks",1.9,0.5
spiritomb,Ghost,Dark,50,92,108,92,108,35,"Pressure, Infiltrator",108,1
gible,Dragon,Ground,58,70,45,40,45,42,"Sand Veil, Rough Skin",20.5,0.7
gabite,Dragon,Ground,68,90,65,50,55,82,"Sand Veil, Rough Skin",56,1.4
garchomp,Dragon,Ground,108,130,95,80,85,102,"Sand Veil, Rough Skin",95,1.9
garchompmega,Dragon,Ground,108,170,115,120,95,92,Sand Force,95,1.9
munchlax,Normal,,135,85,40,40,85,5,"Pickup, Thick Fat, Gluttony",105,0.6
riolu,Fighting,,40,70,40,35,40,60,"Steadfast, Inner Focus, Prankster",20.2,0.7
lucario,Fighting,Steel,70,110,70,115,70,90,"Steadfast, Inner Focus, Justified",54,1.2
lucariomega,Fighting,Steel,70,145,88,140,70,112,Adaptability,57.5,1.3
hippopotas,Ground,,68,72,78,38,42,32,"Sand Stream, Sand Force",49.5,0.8
hippowdon,Ground,,108,112,118,68,72,47,"Sand Stream, Sand Force",300,2
skorupi,Poison,Bug,40,50,90,30,55,65,"Battle Armor, Sniper, Keen Eye",12,0.8
drapion,Poison,Dark,70,90,110,60,75,95,"Battle Armor, Sniper, Keen Eye",61.5,1.3
croagunk,Poison,Fighting,48,61,40,61,40,50,"Anticipation, Dry Skin, Poison Touch",23,0.7
toxicroak,Poison,Fighting,83,106,65,86,65,85,"Anticipation, Dry Skin, Poison Touch",44.4,1.3
carnivine,Grass,,74,100,72,90,72,46,Levitate,27,1.4
finneon,Water,,49,49,56,49,61,66,"Swift Swim, Storm Drain, Water Veil",7,0.4
lumineon,Water,,69,69,76,69,86,91,"Swift Swim, Storm Drain, Water Veil",24,1.2
mantyke,Water,Flying,45,20,50,60,120,50,"Swift Swim, Water Absorb, Water Veil",65,1
snover,Grass,Ice,60,62,50,62,60,40,"Snow Warning, Soundproof",50.5,1
abomasnow,Grass,Ice,90,92,75,92,85,60,"Snow Warning, Soundproof",135.5,2.2
abomasnowmega,Grass,Ice,90,132,105,132,105,30,Snow Warning,185,2.7
weavile,Dark,Ice,70,120,65,45,85,125,"Pressure, Pickpocket",34,1.1
magnezone,Electric,Steel,70,70,115,130,90,60,"Magnet Pull, Sturdy, Analytic",180,1.2
lickilicky,Normal,,110,85,95,80,95,50,"Own Tempo, Oblivious, Cloud Nine",140,1.7
rhyperior,Ground,Rock,115,140,130,55,55,40,"Lightning Rod, Solid Rock, Reckless",282.8,2.4
tangrowth,Grass,,100,100,125,110,50,50,"Chlorophyll, Leaf Guard, Regenerator",128.6,2
electivire,Electric,,75,123,67,95,85,95,"Motor Drive, Vital Spirit",138.6,1.8
magmortar,Fire,,75,95,67,125,95,83,"Flame Body, Vital Spirit",68,1.6
togekiss,Fairy,Flying,85,50,95,120,115,80,"Hustle, Serene Grace, Super Luck",38,1.5
yanmega,Bug,Flying,86,76,86,116,56,95,"Speed Boost, Tinted Lens, Frisk",51.5,1.9
leafeon,Grass,,65,110,130,60,65,95,"Leaf Guard, Chlorophyll",25.5,1
glaceon,Ice,,65,60,110,130,95,65,"Snow Cloak, Ice Body",25.9,0.8
gliscor,Ground,Flying,75,95,125,45,75,95,"Hyper Cutter, Sand Veil, Poison Heal",42.5,2
mamoswine,Ice,Ground,110,130,80,70,60,80,"Oblivious, Snow Cloak, Thick Fat",291,2.5
