Name,link,Move 1,Move 2,Move 3,Move 4,Item,Ability,Nature,EVs,Formats
Nuzleaf,https://www.smogon.com/dex/sm/pokemon/nuzleaf/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Shiftry,https://www.smogon.com/dex/sm/pokemon/shiftry/,Knock Off,Leaf Blade,Rock Slide,Explosion/Low Kick,Choice Scarf,Chlorophyll,Adamant,252 Atk/4 Def/252 Spe/,PU/
Taillow,https://www.smogon.com/dex/sm/pokemon/taillow/,Facade,Brave Bird,Quick Attack,Protect/U-turn,Flame Orb,Guts,Jolly,36 HP/236 Atk/236 Spe/,LC/
Swellow,https://www.smogon.com/dex/sm/pokemon/swellow/,Boomburst,U-turn,Heat Wave,Air Slash,Choice Specs,Scrappy,Timid,4 Def/252 SpA/252 Spe/,RU/Monotype/
Wingull,https://www.smogon.com/dex/sm/pokemon/wingull/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Pelipper,https://www.smogon.com/dex/sm/pokemon/pelipper/,Scald,U-turn,Roost,Knock Off/Hurricane/Defog,Damp Rock,Drizzle,Relaxed,0 Spe/,OU/Monotype/Doubles/Battle Spot Singles/Battle Spot Doubles/VGC18/VGC17/
Sandslash,https://www.smogon.com/dex/sm/pokemon/sandslash/,Rapid Spin,Toxic/Stealth Rock,Earthquake,Toxic/Knock Off,Leftovers,Sand Rush,Impish,252 HP/160 Def/96 Spe/,ZU/PU/LGPE OU/
Sandslash-Alola,https://www.smogon.com/dex/sm/pokemon/sandslash-alola/,Stealth Rock/Rapid Spin,Icicle Crash,Iron Head/Knock Off,Earthquake,Shuca Berry,Slush Rush,Jolly,252 Atk/4 Def/252 Spe/,PU/UU/Monotype/VGC17/LGPE OU/
Ralts,https://www.smogon.com/dex/sm/pokemon/ralts/,Psychic,Dazzling Gleam,Thunderbolt,Destiny Bond/Memento,Choice Scarf,Trace,Timid,52 HP/236 SpA/196 Spe/,LC/
Kirlia,https://www.smogon.com/dex/sm/pokemon/kirlia/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Gardevoir,https://www.smogon.com/dex/sm/pokemon/gardevoir/,Psyshock,Moonblast,Hidden Power/Shadow Ball,Healing Wish/Trick,Choice Specs,Trace,Timid,4 Def/252 SpA/252 Spe/,RU/OU/Monotype/Doubles/VGC18/1v1/
Surskit,https://www.smogon.com/dex/sm/pokemon/surskit/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Masquerain,https://www.smogon.com/dex/sm/pokemon/masquerain/,Sticky Web,Bug Buzz,Air Slash/Hydro Pump,Quiver Dance,Focus Sash,Intimidate,Timid,252 SpA/4 SpD/252 Spe/,PU/
Shroomish,https://www.smogon.com/dex/sm/pokemon/shroomish/,Spore,Bullet Seed,Drain Punch,Synthesis,Eviolite,Effect Spore,Impish,36 HP/36 Atk/196 Def/116 SpD/76 Spe/,LC/
Breloom,https://www.smogon.com/dex/sm/pokemon/breloom/,Spore,Mach Punch,Bullet Seed,Rock Tomb/Swords Dance,Focus Sash,Technician,Adamant,252 Atk/4 SpD/252 Spe/,OU/Monotype/Battle Spot Singles/VGC18/1v1/
Slakoth,https://www.smogon.com/dex/sm/pokemon/slakoth/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Vigoroth,https://www.smogon.com/dex/sm/pokemon/vigoroth/,Bulk Up,Return/Facade,Slack Off,Substitute/Taunt,Eviolite,Vital Spirit,Jolly,252 HP/164 SpD/92 Spe/,ZU/
Slaking,https://www.smogon.com/dex/sm/pokemon/slaking/,Retaliate/Return,Sucker Punch/Pursuit,Earthquake,Fire Blast,Life Orb,Truant,Naive,252 Atk/4 SpA/252 Spe/,PU/1v1/
Nidoran-F,https://www.smogon.com/dex/sm/pokemon/nidoran-f/,Toxic Spikes,Super Fang,Poison Jab,Thief,Berry Juice,Poison Point,Impish,60 Atk/180 Def/196 SpD/28 Spe/,LC/
Nincada,https://www.smogon.com/dex/sm/pokemon/nincada/,Final Gambit,Leech Life,Giga Drain,Toxic,Eviolite,Compound Eyes,Naive,188 HP/76 Atk/36 Def/196 Spe/,LC/
Ninjask,https://www.smogon.com/dex/sm/pokemon/ninjask/,Swords Dance,Leech Life,Aerial Ace,Dig,Groundium Z,Speed Boost,Adamant,252 Atk/4 Def/252 Spe/,ZU/PU/
Shedinja,https://www.smogon.com/dex/sm/pokemon/shedinja/,Will-O-Wisp,Swords Dance/Toxic,X-Scissor/Protect,Shadow Ball/X-Scissor/Shadow Sneak,Focus Sash,Wonder Guard,Naive,0 Def/0 SpD/,OU/PU/VGC19/BH/1v1/
Whismur,https://www.smogon.com/dex/sm/pokemon/whismur/,Hyper Voice,Shadow Ball,Ice Beam,Hammer Arm/Fire Blast,Life Orb,Soundproof,Quiet,244 HP/36 Def/188 SpA/36 SpD/,LC/
Loudred,https://www.smogon.com/dex/sm/pokemon/loudred/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Exploud,https://www.smogon.com/dex/sm/pokemon/exploud/,Boomburst,Focus Blast,Fire Blast,Surf,Choice Specs,Scrappy,Timid,4 Def/252 SpA/252 Spe/,RU/
Makuhita,https://www.smogon.com/dex/sm/pokemon/makuhita/,Belly Drum,Close Combat,Knock Off,Heavy Slam/Bullet Punch,Berry Juice,Thick Fat,Jolly,20 HP/196 Atk/36 Def/236 Spe/,LC/
Hariyama,https://www.smogon.com/dex/sm/pokemon/hariyama/,Revenge/Close Combat,Toxic/Knock Off,Rest,Sleep Talk,Leftovers,Thick Fat,Impish,12 HP/252 Def/244 SpD/,NU/RU/
Azurill,https://www.smogon.com/dex/sm/pokemon/azurill/,Double-Edge,Knock Off,Iron Tail/Waterfall,Return,Life Orb,Huge Power,Brave,0 Spe/,LC/
Nosepass,https://www.smogon.com/dex/sm/pokemon/nosepass/,Stealth Rock,Rock Blast,Thunder Wave,Volt Switch,Berry Juice,Sturdy,Relaxed,76 Atk/236 Def/196 SpD/,LC/
Venusaur,https://www.smogon.com/dex/sm/pokemon/venusaur/,Growth,Sludge Bomb,Giga Drain,Hidden Power,Grassium Z,Chlorophyll,Modest,4 Def/252 SpA/252 Spe/,RU/Uber/OU/Monotype/Doubles/Battle Spot Singles/VGC19/VGC18/1v1/LGPE OU/
Nidorina,https://www.smogon.com/dex/sm/pokemon/nidorina/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Skitty,https://www.smogon.com/dex/sm/pokemon/skitty/,Fake Out,Sucker Punch,Double-Edge,Foresight/Thunder Wave,Life Orb,Normalize,Adamant,236 Atk/76 SpD/196 Spe/,LC/
Delcatty,https://www.smogon.com/dex/sm/pokemon/delcatty/,Fake Out,Sucker Punch,Double-Edge/Return,Thunder Wave,Silk Scarf,Normalize,Jolly,252 Atk/4 Def/252 Spe/,PU/
Sableye,https://www.smogon.com/dex/sm/pokemon/sableye/,Knock Off,Will-O-Wisp,Recover,Protect,Sablenite,Prankster,Careful,248 HP/8 Def/252 SpD/,OU/PU/Uber/Monotype/1v1/
Mawile,https://www.smogon.com/dex/sm/pokemon/mawile/,Substitute,Thunder Punch,Ice Punch,Focus Punch,Mawilite,Intimidate,Adamant,144 HP/252 Atk/112 Spe/,OU/ZU/PU/Battle Spot Singles/VGC19/VGC18/1v1/Draft/
Aron,https://www.smogon.com/dex/sm/pokemon/aron/,Rock Polish,Head Smash,Iron Head/Heavy Slam,Superpower/Earthquake,Eviolite,Rock Head,Jolly,196 Atk/116 SpD/196 Spe/,LC/1v1/
Lairon,https://www.smogon.com/dex/sm/pokemon/lairon/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Aggron,https://www.smogon.com/dex/sm/pokemon/aggron/,Heavy Slam,Curse,Rest,Sleep Talk,Aggronite,Sturdy,Careful,252 HP/4 Def/252 SpD/,UU/PU/OU/1v1/
Meditite,https://www.smogon.com/dex/sm/pokemon/meditite/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Medicham,https://www.smogon.com/dex/sm/pokemon/medicham/,Fake Out,High Jump Kick,Ice Punch,Thunder Punch/Zen Headbutt,Medichamite,Telepathy,Adamant,252 Atk/4 Def/252 Spe/,OU/NU/RU/VGC19/1v1/Draft/
Electrike,https://www.smogon.com/dex/sm/pokemon/electrike/,Volt Switch,Hidden Power/Thunderbolt,Flamethrower,Thunderbolt/Switcheroo,Choice Scarf,Lightning Rod,Timid,0 Atk/30 SpA/,LC/
Nidoqueen,https://www.smogon.com/dex/sm/pokemon/nidoqueen/,Stealth Rock,Earth Power,Ice Beam/Sludge Wave,Taunt/Toxic,Life Orb,Sheer Force,Timid,252 SpA/4 SpD/252 Spe/,RU/UU/Monotype/Draft/LGPE OU/
Manectric,https://www.smogon.com/dex/sm/pokemon/manectric/,Volt Switch,Flamethrower/Overheat,Thunderbolt,Hidden Power/Hidden Power,Manectite,Lightning Rod,Timid,4 Def/252 SpA/252 Spe/,UU/PU/Monotype/Doubles/Battle Spot Singles/
Plusle,https://www.smogon.com/dex/sm/pokemon/plusle/,Nasty Plot,Thunderbolt,Grass Knot/Hidden Power,Encore/Substitute,Life Orb,Lightning Rod,Timid,252 SpA/4 SpD/252 Spe/,PU/
Minun,https://www.smogon.com/dex/sm/pokemon/minun/,Nasty Plot,Thunderbolt,Grass Knot/Hidden Power,Encore/Substitute,Life Orb,Volt Absorb,Timid,252 SpA/4 SpD/252 Spe/,PU/
Volbeat,https://www.smogon.com/dex/sm/pokemon/volbeat/,Rain Dance/Sunny Day,U-turn,Thunder Wave,Roost,Damp Rock,Prankster,Relaxed,252 HP/4 Atk/252 Def/,ZU/PU/
Illumise,https://www.smogon.com/dex/sm/pokemon/illumise/,Rain Dance/Sunny Day,U-turn,Thunder Wave,Encore,Damp Rock,Prankster,Relaxed,0 Spe/,PU/1v1/
Roselia,https://www.smogon.com/dex/sm/pokemon/roselia/,Spikes,Synthesis,Sludge Bomb,Giga Drain,Eviolite,Natural Cure,Calm,248 HP/236 SpD/24 Spe/,PU/NFE/
Gulpin,https://www.smogon.com/dex/sm/pokemon/gulpin/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Swalot,https://www.smogon.com/dex/sm/pokemon/swalot/,Sludge Bomb,Giga Drain,Ice Beam,Earthquake,Assault Vest,Liquid Ooze,Quiet,248 HP/200 SpA/60 SpD/,PU/
Carvanha,https://www.smogon.com/dex/sm/pokemon/carvanha/,Hydro Pump,Dark Pulse,Ice Beam,Protect,Life Orb,Speed Boost,Modest,9 HP/,LC/
Sharpedo,https://www.smogon.com/dex/sm/pokemon/sharpedo/,Crunch,Ice Fang,Psychic Fangs/Earthquake,Protect,Sharpedonite,Speed Boost,Jolly,4 HP/252 Atk/252 Spe/,UU/Monotype/Battle Spot Singles/
Nidoran-M,https://www.smogon.com/dex/sm/pokemon/nidoran-m/,Poison Jab,Drill Run,Sucker Punch,Hone Claws,Eviolite,Hustle,Adamant,220 Atk/36 Def/196 Spe/,LC/
Wailmer,https://www.smogon.com/dex/sm/pokemon/wailmer/,Water Spout,Hydro Pump,Ice Beam,Hidden Power/Hidden Power,Choice Scarf,Pressure,Timid,36 HP/200 SpA/200 Spe/,LC/
Wailord,https://www.smogon.com/dex/sm/pokemon/wailord/,Substitute,Aqua Ring,Protect,Block,Leftovers,Pressure,Calm,252 Def/4 SpA/252 SpD/,PU/
Numel,https://www.smogon.com/dex/sm/pokemon/numel/,Flame Charge,Fire Blast,Earth Power,Stealth Rock/Growth,Groundium Z,Simple,Modest,36 HP/236 SpA/236 Spe/,LC/
Camerupt,https://www.smogon.com/dex/sm/pokemon/camerupt/,Stealth Rock,Lava Plume,Toxic,Protect/Earth Power,Leftovers,Solid Rock,Calm,252 HP/4 SpA/252 SpD/,ZU/OU/RU/PU/Doubles/VGC18/1v1/
Torkoal,https://www.smogon.com/dex/sm/pokemon/torkoal/,Stealth Rock,Rapid Spin,Lava Plume,Toxic/Yawn,Leftovers,Shell Armor,Bold,248 HP/232 Def/28 SpD/,PU/Monotype/Doubles/VGC17/
Spoink,https://www.smogon.com/dex/sm/pokemon/spoink/,Calm Mind,Psychic,Power Gem,Hidden Power,Eviolite,Thick Fat,Timid,80 Def/200 SpA/200 Spe/,LC/
Grumpig,https://www.smogon.com/dex/sm/pokemon/grumpig/,Psychic,Focus Blast,Shadow Ball,Thunder Wave/Taunt/Calm Mind,Fightinium Z,Thick Fat,Timid,80 HP/252 SpA/176 Spe/,PU/
Spinda,https://www.smogon.com/dex/sm/pokemon/spinda/,Trick Room,Superpower,Return,Sucker Punch,Life Orb,Contrary,Brave,0 Spe/,PU/
Trapinch,https://www.smogon.com/dex/sm/pokemon/trapinch/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Vibrava,https://www.smogon.com/dex/sm/pokemon/vibrava/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Nidorino,https://www.smogon.com/dex/sm/pokemon/nidorino/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Flygon,https://www.smogon.com/dex/sm/pokemon/flygon/,U-turn,Earthquake,Outrage,Defog/Dragon Claw/Aerial Ace,Choice Scarf,Levitate,Jolly,252 Atk/4 SpD/252 Spe/,RU/
Cacnea,https://www.smogon.com/dex/sm/pokemon/cacnea/,Swords Dance,Sucker Punch,Seed Bomb,Thunder Punch/Drain Punch,Eviolite,Water Absorb,Jolly,236 Atk/116 Def/156 Spe/,LC/
Cacturne,https://www.smogon.com/dex/sm/pokemon/cacturne/,Swords Dance,Seed Bomb,Sucker Punch,Superpower,Life Orb,Water Absorb,Adamant,252 Atk/4 SpD/252 Spe/,ZU/PU/
Swablu,https://www.smogon.com/dex/sm/pokemon/swablu/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Altaria,https://www.smogon.com/dex/sm/pokemon/altaria/,Hyper Voice,Fire Blast,Toxic,Roost,Altarianite,Natural Cure,Modest,248 HP/4 Def/160 SpA/96 Spe/,UU/ZU/OU/PU/Monotype/1v1/
Zangoose,https://www.smogon.com/dex/sm/pokemon/zangoose/,Belly Drum,Quick Attack,Knock Off,Close Combat,Sitrus Berry,Immunity,Jolly,4 HP/252 Atk/252 Spe/,PU/
Seviper,https://www.smogon.com/dex/sm/pokemon/seviper/,Sludge Wave,Giga Drain,Flamethrower/Earthquake,Sucker Punch,Life Orb,Shed Skin,Naughty,8 HP/56 Atk/224 SpA/220 Spe/,PU/
Lunatone,https://www.smogon.com/dex/sm/pokemon/lunatone/,Psyshock/Psychic,Power Gem,Earth Power,Rock Polish,Life Orb,Levitate,Timid,252 SpA/4 SpD/252 Spe/,PU/
Solrock,https://www.smogon.com/dex/sm/pokemon/solrock/,Stealth Rock,Stone Edge,Will-O-Wisp,Morning Sun,Rocky Helmet,Levitate,Impish,252 HP/252 Def/4 Spe/,ZU/PU/
Barboach,https://www.smogon.com/dex/sm/pokemon/barboach/,Dragon Dance,Earthquake,Waterfall,Bounce,Flyinium Z,Oblivious,Adamant,36 HP/212 Atk/12 Def/28 SpD/196 Spe/,LC/
Nidoking,https://www.smogon.com/dex/sm/pokemon/nidoking/,Sludge Wave,Earth Power,Ice Beam,Taunt/Substitute,Life Orb,Sheer Force,Timid,4 Def/252 SpA/252 Spe/,UU/OU/Monotype/Battle Spot Singles/LGPE OU/
Whiscash,https://www.smogon.com/dex/sm/pokemon/whiscash/,Dragon Dance,Waterfall,Earthquake,Bounce,Flyinium Z,Anticipation,Jolly,4 HP/252 Atk/252 Spe/,PU/
Corphish,https://www.smogon.com/dex/sm/pokemon/corphish/,Crabhammer,Aqua Jet,Knock Off,Dragon Dance,Eviolite,Adaptability,Adamant,196 Atk/76 Def/236 Spe/,LC/
Crawdaunt,https://www.smogon.com/dex/sm/pokemon/crawdaunt/,Knock Off,Crabhammer,Aqua Jet,Crunch/Superpower,Choice Band,Adaptability,Adamant,252 Atk/4 Def/252 Spe/,UU/OU/
Baltoy,https://www.smogon.com/dex/sm/pokemon/baltoy/,Rapid Spin,Stealth Rock,Earth Power,Psychic,Berry Juice,Levitate,Bold,36 HP/236 Def/36 SpA/196 SpD/,LC/
Claydol,https://www.smogon.com/dex/sm/pokemon/claydol/,Rapid Spin,Stealth Rock/Toxic,Psychic,Earth Power,Colbur Berry,Levitate,Bold,252 HP/120 Def/136 Spe/,PU/
Lileep,https://www.smogon.com/dex/sm/pokemon/lileep/,Recover,Giga Drain,Stealth Rock,Toxic/Earth Power/Ancient Power,Eviolite,Storm Drain,Bold,68 HP/220 Def/108 SpA/60 SpD/12 Spe/,LC/
Cradily,https://www.smogon.com/dex/sm/pokemon/cradily/,Giga Drain,Toxic,Stealth Rock,Recover,Leftovers,Storm Drain,Bold,252 HP/252 Def/4 SpD/,ZU/PU/Monotype/
Anorith,https://www.smogon.com/dex/sm/pokemon/anorith/,Stealth Rock,Rapid Spin,Knock Off,Rock Blast,Berry Juice,Battle Armor,Jolly,236 Atk/36 Def/236 Spe/,LC/
Armaldo,https://www.smogon.com/dex/sm/pokemon/armaldo/,Stone Edge,Earthquake/X-Scissor,Aqua Jet/Earthquake/Knock Off,Swords Dance,Life Orb,Swift Swim,Adamant,29 HP/,ZU/PU/Monotype/
Feebas,https://www.smogon.com/dex/sm/pokemon/feebas/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Clefairy,https://www.smogon.com/dex/sm/pokemon/clefairy/,Soft-Boiled,Moonblast/Seismic Toss,Knock Off/Stealth Rock,Toxic,Eviolite,Magic Guard,Sassy,0 Spe/,PU/NU/VGC18/NFE/
Milotic,https://www.smogon.com/dex/sm/pokemon/milotic/,Scald,Recover,Haze/Toxic,Ice Beam/Refresh,Leftovers,Marvel Scale,Calm,252 HP/108 Def/148 SpD/,RU/Doubles/VGC17/1v1/
Castform,https://www.smogon.com/dex/sm/pokemon/castform/,Rain Dance,Hydro Pump,Ice Beam,Thunder,Waterium Z,Forecast,Timid,252 SpA/4 SpD/252 Spe/,PU/
Kecleon,https://www.smogon.com/dex/sm/pokemon/kecleon/,Knock Off,Drain Punch,Shadow Sneak,Fake Out/Sucker Punch/Ice Beam,Assault Vest,Protean,Brave,252 HP/156 Atk/100 SpA/,ZU/PU/
Shuppet,https://www.smogon.com/dex/sm/pokemon/shuppet/,Trick Room,Knock Off,Shadow Sneak,Destiny Bond,Focus Sash,Frisk,Brave,0 Spe/,LC/
Banette,https://www.smogon.com/dex/sm/pokemon/banette/,Shadow Claw,Gunk Shot/Knock Off,Will-O-Wisp,Shadow Sneak/Sucker Punch,Life Orb,Insomnia,Adamant,252 Atk/4 Def/252 Spe/,PU/RU/
Duskull,https://www.smogon.com/dex/sm/pokemon/duskull/,Pain Split,Will-O-Wisp,Substitute,Hex/Shadow Sneak,Eviolite,Levitate,Careful,196 HP/196 Def/116 SpD/,LC/
Dusclops,https://www.smogon.com/dex/sm/pokemon/dusclops/,Rest,Sleep Talk,Will-O-Wisp/Toxic,Seismic Toss,Eviolite,Pressure,Bold,252 HP/252 Def/4 SpD/,ZU/
Tropius,https://www.smogon.com/dex/sm/pokemon/tropius/,Leech Seed,Substitute,Air Slash,Toxic/Protect,Sitrus Berry,Harvest,Bold,248 HP/252 Def/8 SpD/,PU/
Chimecho,https://www.smogon.com/dex/sm/pokemon/chimecho/,Psyshock/Psychic,Heal Bell/Toxic,Recover,Defog,Leftovers,Levitate,Bold,252 HP/252 Def/4 SpA/,ZU/PU/
Absol,https://www.smogon.com/dex/sm/pokemon/absol/,Swords Dance,Knock Off,Sucker Punch,Play Rough/Superpower,Darkinium Z,Justified,Jolly,252 Atk/4 Def/252 Spe/,PU/UU/NU/
Clefable,https://www.smogon.com/dex/sm/pokemon/clefable/,Moonblast,Calm Mind,Wish,Protect,Leftovers,Unaware,Bold,252 HP/252 Def/4 SpD/,OU/Monotype/Battle Spot Singles/1v1/LGPE OU/
Wynaut,https://www.smogon.com/dex/sm/pokemon/wynaut/,Counter,Mirror Coat,Encore,Safeguard/Tickle,Berry Juice,Shadow Tag,Bold,156 HP/132 Def/132 SpD/12 Spe/,LC/
Snorunt,https://www.smogon.com/dex/sm/pokemon/snorunt/,Spikes,Frost Breath,Shadow Ball,Hidden Power,Choice Scarf,Inner Focus,Modest,30 HP/0 Atk/30 SpA/30 SpD/30 Spe/,LC/
Glalie,https://www.smogon.com/dex/sm/pokemon/glalie/,Spikes,Double-Edge,Earthquake,Explosion,Glalitite,Ice Body,Jolly,252 Atk/4 SpD/252 Spe/,NU/AG/UU/RU/PU/Battle Spot Singles/
Spheal,https://www.smogon.com/dex/sm/pokemon/spheal/,Yawn,Ice Beam,Surf,Hidden Power/Hidden Power,Berry Juice,Thick Fat,Modest,0 Atk/30 SpA/,LC/
Sealeo,https://www.smogon.com/dex/sm/pokemon/sealeo/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Walrein,https://www.smogon.com/dex/sm/pokemon/walrein/,Roar,Toxic,Ice Beam/Surf,Encore/Super Fang/Protect,Leftovers,Oblivious,Calm,248 HP/8 Def/252 SpD/,PU/Monotype/
Clamperl,https://www.smogon.com/dex/sm/pokemon/clamperl/,Shell Smash,Surf,Ice Beam,Substitute/Hidden Power,Deep Sea Tooth,Rattled,Timid,76 HP/248 SpA/184 Spe/,LC/
Huntail,https://www.smogon.com/dex/sm/pokemon/huntail/,Shell Smash,Waterfall,Ice Beam,Sucker Punch,White Herb,Water Veil,Naughty,252 Atk/4 SpA/252 Spe/,ZU/PU/
Gorebyss,https://www.smogon.com/dex/sm/pokemon/gorebyss/,Shell Smash,Hydro Pump,Ice Beam,Substitute/Hidden Power/Hidden Power,White Herb,Swift Swim,Timid,4 Def/252 SpA/252 Spe/,PU/
Relicanth,https://www.smogon.com/dex/sm/pokemon/relicanth/,Rain Dance,Head Smash,Stealth Rock,Toxic/Yawn,Damp Rock,Sturdy,Jolly,252 Atk/4 Def/252 Spe/,ZU/PU/1v1/
Vulpix,https://www.smogon.com/dex/sm/pokemon/vulpix/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Vulpix-Alola,https://www.smogon.com/dex/sm/pokemon/vulpix-alola/,Aurora Veil,Blizzard,Freeze-Dry,Hidden Power/Hidden Power,Light Clay,Snow Warning,Timid,52 HP/200 SpA/240 Spe/,LC/
Luvdisc,https://www.smogon.com/dex/sm/pokemon/luvdisc/,Hydro Pump,Ice Beam,Hidden Power,Rain Dance,Waterium Z,Swift Swim,Timid,252 SpA/4 SpD/252 Spe/,PU/
Bagon,https://www.smogon.com/dex/sm/pokemon/bagon/,Dragon Dance,Outrage,Substitute/Zen Headbutt,Substitute/Fire Fang,Dragonium Z,Sheer Force,Adamant,0 HP/,LC/
Shelgon,https://www.smogon.com/dex/sm/pokemon/shelgon/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Salamence,https://www.smogon.com/dex/sm/pokemon/salamence/,Body Slam,Defog,Roost,Dragon Tail/Refresh,Salamencite,Intimidate,Impish,248 HP/136 Def/124 Spe/,Uber/OU/Monotype/Doubles/Battle Spot Singles/VGC19/VGC18/1v1/
Beldum,https://www.smogon.com/dex/sm/pokemon/beldum/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
Metang,https://www.smogon.com/dex/sm/pokemon/metang/,Stealth Rock,Meteor Mash,Bullet Punch/Zen Headbutt/Earthquake,Zen Headbutt/Earthquake/Bullet Punch,Eviolite,Clear Body,Adamant,88 Atk/204 Def/216 Spe/,NFE/PU/ZU/
Metagross,https://www.smogon.com/dex/sm/pokemon/metagross/,Meteor Mash,Ice Punch,Thunder Punch/Rock Slide,Earthquake/Bullet Punch,Metagrossite,Clear Body,Jolly,232 HP/60 Atk/40 SpD/176 Spe/,Uber/RU/UU/Monotype/Doubles/Battle Spot Singles/VGC19/VGC18/VGC17/1v1/
Regirock,https://www.smogon.com/dex/sm/pokemon/regirock/,Sunny Day,Stealth Rock,Explosion,Stone Edge,Heat Rock,Sturdy,Adamant,252 HP/252 Atk/4 Def/,PU/NU/
Regice,https://www.smogon.com/dex/sm/pokemon/regice/,Rock Polish,Ice Beam,Thunderbolt,Focus Blast,Fightinium Z,Clear Body,Modest,4 Def/252 SpA/252 Spe/,ZU/PU/1v1/
Registeel,https://www.smogon.com/dex/sm/pokemon/registeel/,Seismic Toss,Toxic,Stealth Rock,Protect,Leftovers,Clear Body,Calm,252 HP/4 Def/252 SpD/,RU/UU/1v1/
Ninetales,https://www.smogon.com/dex/sm/pokemon/ninetales/,Overheat,Flamethrower/Fire Blast,Solar Beam,Hidden Power,Choice Specs,Drought,Timid,252 SpA/4 SpD/252 Spe/,RU/
Ninetales-Alola,https://www.smogon.com/dex/sm/pokemon/ninetales-alola/,Aurora Veil,Freeze-Dry,Hypnosis,Hail,Light Clay,Snow Warning,Timid,252 HP/4 SpA/252 Spe/,OU/Monotype/Doubles/Battle Spot Singles/VGC18/VGC17/1v1/LGPE OU/
Latias,https://www.smogon.com/dex/sm/pokemon/latias/,Calm Mind,Psyshock/Stored Power,Ice Beam,Roost,Latiasite,Levitate,Timid,248 HP/8 Def/252 Spe/,OU/UU/Uber/Monotype/Doubles/Battle Spot Singles/1v1/
Latios,https://www.smogon.com/dex/sm/pokemon/latios/,Psychic,Earthquake,Thunderbolt/Draco Meteor/Ice Beam,Roost,Latiosite,Levitate,Naive,4 Atk/252 SpA/252 Spe/,OU/Monotype/Battle Spot Singles/CAP/Draft/1v1/
Kyogre,https://www.smogon.com/dex/sm/pokemon/kyogre/,Origin Pulse,Ice Beam,Substitute/Thunder,Calm Mind/Liquidation,Blue Orb,Drizzle,Hasty,4 Def/252 SpA/252 Spe/,Uber/AG/VGC19/BH/
Groudon,https://www.smogon.com/dex/sm/pokemon/groudon/,Rock Polish,Swords Dance,Precipice Blades,Fire Punch/Stone Edge,Red Orb,Drought,Adamant,252 Atk/100 SpD/156 Spe/,Uber/AG/VGC19/BH/Mix and Mega/
Rayquaza,https://www.smogon.com/dex/sm/pokemon/rayquaza/,Dragon Ascent,Draco Meteor,Extreme Speed,Surf/Earthquake/V-create,Life Orb,Air Lock,Naughty,252 Atk/4 SpA/252 Spe/,AG/Uber/VGC19/
Jirachi,https://www.smogon.com/dex/sm/pokemon/jirachi/,Stealth Rock,Iron Head,U-turn,Healing Wish,Leftovers,Serene Grace,Careful,248 HP/188 SpD/72 Spe/,OU/Monotype/1v1/
Deoxys,https://www.smogon.com/dex/sm/pokemon/deoxys/,Psycho Boost,Taunt,Pursuit,Ice Beam/Spikes,Kasib Berry,Pressure,Jolly,228 Atk/120 Def/48 SpD/112 Spe/,Uber/
Deoxys-Attack,https://www.smogon.com/dex/sm/pokemon/deoxys-attack/,Psycho Boost,Ice Beam,Superpower,Dark Pulse/Pursuit,Life Orb,Pressure,Rash,4 Atk/252 SpA/252 Spe/,Uber/Doubles/
Deoxys-Defense,https://www.smogon.com/dex/sm/pokemon/deoxys-defense/,Spikes,Taunt,Recover,Toxic,Leftovers,Pressure,Bold,0 Atk/,Uber/
Deoxys-Speed,https://www.smogon.com/dex/sm/pokemon/deoxys-speed/,Stealth Rock,Taunt,Magic Coat/Skill Swap,Magic Coat/Spikes,Rocky Helmet,Pressure,Timid,252 HP/4 Def/252 Spe/,Uber/Monotype/1v1/
Turtwig,https://www.smogon.com/dex/sm/pokemon/turtwig/,Stealth Rock,Synthesis,Bullet Seed,Superpower,Eviolite,Overgrow,Careful,76 HP/52 Atk/244 Def/76 SpD/28 Spe/,LC/
Grotle,https://www.smogon.com/dex/sm/pokemon/grotle/,No movesets available,No movesets available,No movesets available,No movesets available,-,-,-,-,-
